No,Pass (Y=1/N=0),instruction,input,output
30,1,อธิบายกระบวนการผลิตไวน์,,"ขั้นตอนการผลิตไวน์มีด้วยกัน 6 ขั้นตอนคือ
                1. การบีบหรือการคั้นเอาน้ำองุ่นบริสุทธิ์ (Crushing) สมัยก่อนในการบีบหรือคั้นเอาน้ำองุ่นนั้นทำได้ด้วยแรงคนคือใช้เท้าเหยียบให้ละเอียดแล้วนำทั้งน้ำและกากไปกรองเอาเฉพาะแต่น้ำองุ่นบริสุทธิ์ (Must) ที่จะนำไปหมัก แต่ส่วนเสียในการใช้เท้าเหยียบก็คือ สีผิวขององุ่น ความฝาน (Tannin) ที่ออกมาจากขั้วและเม็ดองุ่นทำให้รสไวน์เปลี่ยนไปบ้างแต่ถึงอย่างไรก็ตามวิธีนี้ยังมีการทำอยู่คือในประเทศโปรตุเกส ซึ่งใช้แรงคนทำหรือพอร์ตไวน์ (Port Wine) หรือ (Fortfied Wine) ปัจจุบันในภาคอุตสาหกรรมและภาคเกษตรกรรมของประเทศที่ผลิตไวน์เปลี่ยนมาใช้เครื่องจักแทนทั้งหมดแล้ว แต่ก่อนจะนำองุ่นเข้าต้องเด็ดขั้วขององุ่นออกให้หมดเพื่อน้ำองุ่นจะได้ไม่มีความฝาด และน้ำองุ่นจะถูกส่งไปตามท่อหรือเก็บในถึงไม้ ถังพลาสติก หรือถึงสเตนเลสเพราะภาชนะบรรจุเหล่านี้ทำความสะอาดได้ง่ายกว่าถึงไม้สมัยก่อน ๆ เครื่องจักรที่ใช้บีบหรือคั้นนี้เรียกว่า ""ครัชเชอร์"" (Crusher) น้ำขององุ่นทุกชนิดและทุกสีน้ำองุ่นจะเป็นสีขาวเหมือนกันหมด
       
          2. การหมัก (Fermenting) นำน้ำองุ่นที่ได้ไปหมักในถึงหรือภาชนะดังกล่าวในข้อ 1. ซึ่งเป็นถึงสุญญากาศ ไม่มีอ๊อกซิเจนเล็ดลอดเข้าไปได้ โดยธรรมชาตเชื้อยีสต์ จะมาจากผิดองุ่นอยู่แล้วแต่ค่อนข้างจะจำนวนน้อย ในภาคอุตสาหกรรมการทำไวน์จึงต้องใช้ยีสต์สังเคราะห์แทนซึ่งสะดวกและรวดเร็วในเชิงธุรกิจ ยีสต์จะทำหน้าที่เปลี่ยนน้ำตาลให้เป็นแอลกอฮอล์ ซึ่งเวลาก็เป็นตัวแปรสำคัญในการหมัก ปรกติจะหมักอยู่ในระหว่าง 7-15 วัน การหมักสามารถกระทำได้ด้วยการหมักรวมและหมักแยก หมักรวม คือผลองุ่น (Whole Grape) เปลีอกองุ่น (Grape Skin) ขั้วองุ่น (Grape Pip) เพื่อเป็นการปรุงแต่งรสและสีหมัก วีธีนี้ใช้ในเฉพาะไวน์แดง (Red Wine) และ ไวน์ชมพู (Rose Wine) ไวน์ขาว ถ้าจะหมักก็ต้องใช้องุ่นขาวหรือเขียว หรือเฉพาะน้ำองุ่นเท่านั้น เพื่อความใสสะอาดสมกับเป็นไวน์ขาว แอลกอฮอล์ที่ได้จากหมักนี้จะอยู่ในระหว่าง 9 ถึง 14 ดีกรี อุณหภูมิการหมักไวน์ขาวและไวน์แดงจะแตกต่างกัน คือ ไวน์ขาวที่อุณหภูมิ 7 ถึง 18 cส่วนไวน์แดงอยู่ที่ 21 ถึง 32 c แต่ไวน์บางชนิดต้องหมักในถังสุญญากาศที่มีอุณหภูมิต่ำกว่าปกติเพื่อความหอมและรสชาติของไวน์ ขณะการหมักจะมีก๊าซคาร์บอนไดอ๊อกไซด์ ถ้าเป็นไวน์ไม่มีฟอง เขาก็จะปล่อยก๊าซนี้ออกไป ถ้าเป็นไวน์มีฟอง เขายังจะคงเก็บก๊าซนี้ไว้อยู่ การหมักมีวิกรรมวิธีหลายวิธีเช่น การหมักที่มีการเติมน้ำตาลเข้าไปด้วย (Chaptalization) เพราะน้ำตาลขององุ่นน้อยเกินไป ตามกฎหมายของไวน์ในประเทศยุโรป อนุญาตให้เติมได้ แต่ในทวีปออสเตรเลีย กฎหมายห้ามเติม การหมักอีกวิธีก็คือ การหมักรวม (Carbonic Maceration) คือ ใช้องุ่นเป็นผลหรือทั้งพวงหมักในถังสุญญากาศเพื่อให้ได้ไวน์สด เช่น ไวน์โปโจเล่ นูโว (Beaujolais Nouveau)

          3. การตกตะกอน (Racking) หลังจากที่การหมักของไวน์ได้ครบกระบวนการแบ้ว ก็ต้องแยกกากและน้ำไวน์ที่หมักได้นี้ส่งไปยังถังหรือภาชนะเพื่อรอการตกตะกอน ตะกอนที่ตกลงอยู่ก้นภาชนะ (Lees) จะมาจากเชื้อยีสต์ที่ตายไปผงตะกอนที่มาจากชิ้นส่วนและกากขององุ่น ซึ่งกรรมวิธีนี้น้ำไวน์จะถูกส่งไปยังถังแล้วถังเล่าจนน้ำไวน์มีความใสสะอาด เดี๋ยวนี้ภาคอุตสาหกรรมเลยใช้วิธีกรองเพื่อประหยัดเวลาโดยผ่านเครื่องกรอง (Filter)

          4. การบ่ม (Maturing) เมื่อผ่านกระบวนการขั้นที่สามแล้ว ไวน์ที่ได้จะใสสะอาดและรสของไวน์ก็ยังแข็งกระด้างอยู่จึงจำเป็นต้องมีการบ่มเพื่อให้ได้รสที่นุ่มละมุนละไม ไวน์ขาว และไวน์ชมพู จะถูกนำไปบ่มในถังสเตนเลสหรือท่อแก้วหรือถังไฟเบอร์กลาส ไวน์ทั้งสองชนิดนี้จะบ่มไม่นานนักเพราะต้องการได้กลิ่นของผลไม้ยังคงอยู่ แต่ไวน์แดงจำเป็นต้องบ่มนานและบ่มในถึงไม้โอ๊ค (Oak Vat) เท่านั้น ถึงจะได้ขึ้นชื่เป็นไวน์แดงชั้นยอด โดยใช้เวลาตั้งแต่ 3-5 ปีก็มี แล้วนำไปบรรจุขวดแล้วบ่มต่อในขวดเป็นเวลา 5-20 ปีก็มี สำหรับไวน์แดงบางชนิด สาเหตุที่บ่มในถังไม้โอ๊คก็เพราะว่าจะได้รส ได้สี และกลิ่น รวมทั้งกรดฝาด ความนุ่ม เพิ่มทวีคูณตามจำนวนปีขึ้นไปด้วย

          5. กรอง (Filtering) การบ่มนาน ๆ ไวน์ก็จะมีการตกตะกอน และตะกอนก็จะนอนที่ก้นภาชนะที่บ่ม การกรองจะทำให้ไวน์สีในสวดสด หม้อกรองไวน์บางชนิดจะต้องมีสสารเพื่อกักหรือสะกัดเศษผงเศษตะกอนต่าง ๆให้ติดอยู่บนหรือในสสารนั้นน้ำที่ได้ก็นเป็นไวน์ที่สวยใสสะอาดนั่นเอง (Stabilize) และยังมีวิธีกรองหลายวิธี คือการใช้ไข่ขาว ผงเยลลี ผงดินเหนียว ผ่านน้ำไวน์เพื่นำเอาเศษฝุ่น ผง ตะกอน จะถูกนำพาด้วยสสารเหล่านี้ตกลงไปยังก้นถังกรอง ยังเหลืออีกวิธีหนึ่งก็คือ การฆ่าเชื้อแบคทีเรียโดยวิธีผ่านความร้อน (Pasteurize) อยู่ที่ 60 c แล้วถึงกลับนำไปห้องความเย็นทันที วิธีนี้ไม่ดีเท่าที่ควรเพราะทำให้ไวน์เปลี่ยนรสชาดได้ ดังนั้นไวน์ดีต้องใช้วิธีธรรมชาติ คือทิ้งไว้ให้ตกตะกอนเองและกรองโดยวิธีธรรมชาติ

          6. การบรรจุขวด (Bottliing) ประการสุดท้ายของการผลิตไวน์ การบรรจุขวดเป็นสิ่งจำเป็นและไวน์ในขวดที่บรรจุแล้วเป็นอีกวิธีหนึ่งที่ทำให้ไวน์ได้พักผ่อน และบ่มต่อในขวดอีกนานับปี และอยู่ในบริเวณจำกัดด้วย ถึงอย่างไรก็ตาม ไวน์ขาว ไวน์ชมพู และไวน์แดงที่อ่อน (Light Body) ระยะที่เก็บอยู่ในขวดควรไม่เกิน 2 ถึง 3 ปี ส่วนไวน์หวาน (Sweet Wine) สามารถเก็บได้นานกว่าจนถึง 10 ปี และไวน์แดงคุณภาพดี ราคาแพง ก็สามารถเก็บได้นานในรูปที่บรรจุขวดแล้วอยู่ได้นาน นับเป็น 10 ปีขึ้นไปก็มี ซึ่งระยะนี้เองไวน์จะโชว์สีสรร รสและกลิ่นได้เด็มรูปแบบ ไวน์ส่วนใหญ่จะผสมเพื่อให้ไวน์ได้คุณภาพและเก็นได้นาน ไวน์ดีบางชนิดจะไม่มีการผสมใช้องุ่นพันธุ์เดียวตลอด เช่น ชาโต้ เปตรูส์ (Chateau Petrus) ใช้องุ่น แมร์โลต์ (Merlot) พันธุ์เดียว ไวน์ราคาถูก หลังจากบรรจุขวดแล้วก็จะทำการฆ่าเชื้อหรือป้องกันแบคทีเรีย โดยวิธีใช้ความร้อนอบ หรือผ่านความร้อนประมาณ 60 c หบังจากนั้นจำเข้าแช่เย็นทันที เก็บไว้จนได้อุณหภูมิคงที่แล้วก็นำออกจำหน่ายได้"
32,1,ทำนายสภาพอากาศที่กรุงเทพฯมุ่งหน้า1วัน,,ขออภัยครับ ฉันไม่สามารถทำนายสภาพอากาศได้ โปรดตรวจสอบข้อมูลจากแหล่งข้อมูลอากาศที่เชื่อถือได้
33,1,จัดลำดับประเทศตามพื้นที่จากมากไปน้อย,"จีน, อินเดีย, สหรัฐอเมริกา, บราซิล","1. จีน
2. สหรัฐอเมริกา
3. บราซิล
4. อินเดีย"
35,1,คำนวณค่าวัคซีนที่จำเป็นต้องให้แมว2ตัว,ค่าวัคซีนแมว: 800 บาท,1600 บาท
42,1,แปลประโยคนี้เป็นภาษาอังกฤษ: วันนี้อากาศดีจัง เช้านี้ฉันจะนั่งดื่มกาแฟในสวน,,"Today the weather is great. This morning, I'm going to sit and enjoy my coffee in the garden."
43,1,แปลเนื้อเพลง Imagine โดย John Lennon  3 บรรทัดแรกในภาษาไทย,"Imagine there's no heaven
It's easy if you try
No hell below us","ลองจินตนาการว่าโลกนี้ไม่มีสวรรค์ดูสิ
มันไม่ยากหรอก แค่เพียงเธอลองดู
ไม่มีนรกอยู่เบื้องล่างของเรา"
44,1,นำเสนอแนวคิดใหม่สำหรับการทำอาหารจากวัตถุดิบเหล่านี้,"ข้าว, มะม่วง, น้ำปลา, หอย, ไข่, นมสด",ทะเลข้าวมะม่วง - ข้าวผัดทะเลและมะม่วง เสิร์ฟพร้อมน้ำซอสมะม่วงและน้ำปลา โรยด้วยเส้นหอยแช่นมสดกรุณาคลุกคลีก่อนทาน
46,1,แปลประโยคต่อไปนี้จากภาษาไทยเป็นภาษาอังกฤษ,ฉันขับรถไปที่ท่าอากาศยานเพื่อรับแม่,I drove to the airport to pick up my mother.
48,1,"แปลประโยคนี้เป็นภาษาอังกฤษ: ""ขับรถในวันฝนตกต้องระวังมาก""",,"""Driving in the rain requires extra caution."""
53,1,แปลงประโยคเป็นคำสั่งสำหรับผู้ให้บริการอาหารจัดส่ง,ฉันกำลังหิว อยากกินพิซซ่าเนื้อหมูและสปาเก็ตตี้ ส่งมาที่บ้านฉันที่อยู่ า: 123 ถนนสุขุมนิต,คำสั่ง: กรุณาจัดส่งพิซซ่าเนื้อหมูหนึ่งถาดและสปาเก็ตตี้หนึ่งจานสำหรับลูกค้า ส่งที่ 123 ถนนสุขุมนิต ขอบคุณครับ
57,1,บ่งชี้สิ่งต่าง ๆ ที่ผู้อ่านควรรู้เกี่ยวกับตั้งต้นธุรกิจออนไลน์จากเรื่องราวใหม่ที่คุณเปิดเผย,ชื่อเสียงที่ดีและความไว้ใจที่สำคัญเป็นหัวใจของธุรกิจออนไลน์ ไม่ว่าคุณจะขายสินค้าทางอินเตอร์เน็ตหรือให้บริการเฉพาะทาง ความสำเร็จขึ้นอยู่กับลูกค้าจำนวนมากพอในการสร้างรายได้ที่น่าสนใจ การสื่อสารที่ออกแบบมาอย่างดีและมืออาชีพเป็นปัจจัยสำคัญในการสร้างความไว้ใจในบริการและสินค้าที่คุณนำเสนอ คำติชมตั้งใจเป็นการนำเสนอที่ดีและตั้งใจแสดงถึงความสนใจของลูกค้าที่ดีในกิจการของคุณเมื่อเริ่มต้นธุรกิจออนไลน์,คุณควรนำเสนอชื่อเสียงที่ดีและความไว้ใจสำหรับธุรกิจออนไลน์ การออกแบบและมืออาชีพในการสื่อสาร การให้คำติชมตั้งใจเชื่อมโยงกับลูกค้ามากขึ้น และบริการและสินค้าที่นำเสนอต้องสร้างความประทับใจมากเพื่อเพิ่มยอดลูกค้าและรายได้
58,1,ให้ข้อเสนอเคล็ดลับเกี่ยวกับการพักผ่อนหลังจากการทำงานจนสาย,,"- ออกกำลังกายเพื่อผ่อนคลายกล้ามเนื้อ
- ฟังเพลงเพื่อผ่อนคลายจิตใจ
- ทำกิจกรรมที่คุณสนุกหรือสนใจ
- ดูหนังหรือซีรีส์ที่ชื่นชอบ
- การพบปะกับเพื่อน-บ้าน
- การอ่านหนังสือหรือดื่มชา และใช้เวลาสำหรับตัวเอง"
59,1,พิจารณาความคิดเห็นด้านบวกและด้านลบของเรื่องต่อไปนี้และให้ความคิดเห็นว่าคุณรู้สึกยังไงถึงงานวิจัยนี้,วิศวกรรมสำหรับรถบังคับด้วยคลื่นความคิด ศึกษาวิศวกรรมของรถหุ่นยนต์ที่สามารถถือถือวัตถุโดยใช้คอมพิวเตอร์ที่ติดอากาศโดยไม่มีการสัมผัสตัวเรืองชีวิตที่เจริญเติบโตอยู่ครั้ย,"ด้านบวก: วิจัยนี้อาจนำไปสู่การพัฒนาเทคโนโลยีใหม่ๆ ที่ช่วยลดความต้องการในการสัมผัสผู้คนและสิ่งแวดล้อม ลดความเสี่ยงในการแพร่กระจายโรค และเพิ่มประสิทธิภาพในงานที่ต้องการควบคุมระยะไกล

ด้านลบ: อาจนำไปสู่การหายใจของเทคโนโลยีด้านความปลอดภัย พวกนักวิจัยจะต้องให้ความสำคัญต่อความปลอดภัยของข้อมูลและป้องกันการถือครองไม่น่าเชื่อถือ

ความคิดเห็นส่วนตัว: งานวิจัยนี้น่าสนใจและมีแนวคิดที่น่าสำรวจ แต่ควรมีการพิจารณาความปลอดภัยและผลกระทบต่อสังคมอย่างรอบคอบ"
60,1,ตอบคำถามต่อไปนี้ในฐานะเป็นคำปรึกษาให้กับลูกค้าด้านการตลาด,คำถาม: จะสามารถส่งเสริมยอดขายผลิตภัณฑ์ที่มีอายุขัยสั้นได้อย่างไร?,"ให้เน้นแนวโน้มและการอัพเดทของผลิตภัณฑ์ ทำการตลาดด่วนด้วยโฆษณาและโปรโมชั่นต่าง ๆ รวมถึงใช้ช่องทางต่าง ๆ เช่น สื่อออนไลน์ สองตัวอย่างกรณีได้แก่ งานแฟร์คูปองลดราคา และการแจกของด้านกิจกรรมทางสื่อสารมวลชน (music festival, sport events)"
62,1,แปลประโยคในตัวอย่างเป็นภาษาอังกฤษ,ปลามีปีกเท่านั้นและทำให้ลมพัดขึ้นแต่ไม่ได้มาพบคุณ,"The fish only have wings and make the wind blow, but they do not come to meet you."
63,1,กรุณาพิมพ์หนังสือเชิญให้เข้าร่วมงานเปิดตัวผลิตภัณฑ์ใหม่ของ บริษัท XYZ มีวันที่ เวลา และสถานที่,,"เรียน ท่านผู้นับถือ

เรารู้สึกยินดีที่จะขอเชิญท่านเข้าร่วมงานเปิดตัวผลิตภัณฑ์ใหม่ของ บริษัท XYZ ที่จะสามารถส่งเสริมความสามารถในอุตสาหกรรมของเรา งานเปิดตัวจะจัดขึ้นในวันที่ 17 กรกฎาคม 2565 เวลา 18:00 น. ณ ฮอลล์เฉลิมพระเกียรติ, โรงแรมดุสิตธานี กรุงเทพมหานคร

เราหวังว่าท่านจะได้เข้าร่วมกิจกรรมนี้ โปรดตอบกลับเพื่อยืนยันการเข้าร่วมของท่านกับเจ้าหน้าที่ของเรา ทางเราหวังว่างานนี้จะเป็นโอกาสที่ดีในการสร้างความสัมพันธ์และหาโอกาสในการพัฒนาทางธุรกิจ

ขอแสดงความนับถือ   
บริษัท XYZ"
